,State,Hotel Name,Price
0,Alabama,Cozy Garage SheShed - Has Enclosed Outdoor Shower,£20
1,Alabama,"OYO Hotel Mobile, AL I-65 at Airport Blvd",£34
2,Alabama,Budget Inn - Scottsboro,£42
3,Alabama,Quality Inn,£43
4,Alabama,Loners Loft Private Rooms,£43
5,Alabama,Red Roof Inn Montgomery - Midtown,£44
6,Alabama,"Motel 6 Montgomery, AL - Eastern Blvd.",£44
7,Alabama,Rest Inn,£46
8,Alabama,Super 8 by Wyndham Daleville-Fort Novosel,£46
9,Alabama,"Motel 6-Dothan, AL",£46
10,Alabama,Adams Inn,£46
11,Alabama,Express inn Hartselle,£47
12,Alabama,"OYO Hotel Opp AL, Floral Hwy",£47
13,Alabama,Rodeway Inn Oxford,£47
14,Alabama,"Motel 6-Gulf Shores, AL",£47
15,Alabama,Econo Lodge,£48
16,Alabama,Red Roof Inn Gulf Shores,£48
17,Alabama,Quality Inn,£49
18,Alabama,"Motel 6 Scottsboro, AL Hwy 72",£49
19,Alabama,Classic Inn,£49
20,Alabama,Budgetel Inn,£49
21,Alabama,Days Inn by Wyndham Dothan,£49
22,Alabama,Travelodge by Wyndham Tuscaloosa,£50
23,Alabama,America's Inn - Birmingham,£50
24,Alabama,Econo Lodge Inn & Suites University,£50
25,Alaska,Mountain View Apartment 1,£32
26,Alaska,Billie's Backpackers Hostel,£35
27,Alaska,Mountain View Apartment 2,£37
28,Alaska,Soldotna Lodge,£56
29,Alaska,The Hibernation Station,£57
30,Alaska,RV Site (Water and Power),£58
31,Alaska,RV Site (Full Hookups),£58
32,Alaska,Shaligohomes On 16th Ave,£62
33,Alaska,Soldotna Inn,£65
34,Alaska,Delta Lodge,£66
35,Alaska,Eagle River Microtel,£66
36,Alaska,Ingra House Hotel,£66
37,Alaska,Compact But Cozy Too,£70
38,Alaska,Americas Best Value Inn & Suites Anchorage Airport,£70
39,Alaska,Aurora Viewing Deck and Peaceful Retreat,£70
40,Alaska,Econo Inn,£74
41,Alaska,ShaligoHomes,£75
42,Alaska,Brown Bear Saloon & Motel,£75
43,Alaska,Alaska Angler's Inn,£75
44,Alaska,Puffin Inn,£77
45,Alaska,Mother in Law suite in the Hills,£77
46,Alaska,Shelikof Lodge,£77
47,Alaska,Clarion Hotel & Suites Fairbanks near Ft Wainwright,£79
48,Alaska,Marina Motel,£80
49,Alaska,Main Street Hotel,£80
50,Arizona,La Casita,£43
51,Arizona,Rodeway Inn Phoenix North I-17,£49
